Message,Datetime
為配合中環灣仔繞道的建造工程，連接民寶街與金融街(東行)的臨時支路仍然封閉，禁止所有車輛駛入。,2015-01-01 HKT 21:00
告士打道東行往紅隧，龍尾：汽車會。,2015-01-01 HKT 20:40
為配合水管更換工程，大埔公路(沙田段)南行往九龍方向，近蔚景園的支路部份慢線暫時封閉。,2015-01-01 HKT 20:20
紅磡海底隧道九龍往港島方向，交通暫時暢順。,2015-01-01 HKT 20:00
堅拿道天橋往紅隧交通回復正常。,2015-01-01 HKT 19:40
為配合維多利亞公園舉行工展會，直至午夜十二時，景隆街以東的駱克道；東角道及百德新街以西的記利佐治街會劃為行人專用區。,2015-01-01 HKT 19:20
公主道往紅隧，龍尾：愛民邨。,2015-01-01 HKT 19:00
獅子山隧道沙田入口，近收費廣場一段開始車多。,2015-01-01 HKT 18:40
堅拿道天橋往紅隧，龍尾：香港仔隧道管道出口。,2015-01-01 HKT 18:20
告士打道西行往紅隧，龍尾：上橋位。,2015-01-01 HKT 18:00
告士打道東行往紅隧，龍尾：灣仔運動場。,2015-01-01 HKT 17:45
較早前港島區遊行已完結，高士威道、怡和街、邊寧頓街及軒尼詩道，往中環方向的交通已回復正常。,2015-01-01 HKT 17:26
城門郊野公園及大帽山郊野公園的公眾停車位已泊滿，市民請儘量避免駕車前往。,2015-01-01 HKT 17:00
受遊行活動以及車多影響，軒尼詩道西行往中環方向交通擠塞；稍後金鐘道西行、德輔道中西行及雪廠街北行線亦會因應情況實施間歇性封閉措施。,2015-01-01 HKT 16:40
紅磡海底隧道九龍入口，近收費廣場對開一段車多。,2015-01-01 HKT 16:20
受遊行活動以及車多影響，高士威道、怡和街、邊寧頓街及軒尼詩道往中環方向的交通擠塞，駕駛人士請考慮使用其他道路。,2015-01-01 HKT 16:00
為配合維多利亞公園舉行工展會，今日由下午四時至午夜十二時，景隆街以東的駱克道；東角道及百德新街以西的記利佐治街會劃為行人專用區。,2015-01-01 HKT 15:40
為配合港島區遊行活動，現時介乎電廠街及興發街的一段英皇道西行、高士威道西行會實施間歇性封閉，直至人群散去為止。,2015-01-01 HKT 15:20
告士打道東行往紅隧，龍尾：汽車會。,2015-01-01 HKT 15:00
