Name(Chinese),Name(English),Location(Chinese),Location(English),AdditionalInfo
亞公角山路,A Kung Kok Shan Road,沙田,Sha Tin,None
亞公角街,A Kung Kok Street,沙田,Sha Tin,None
亞公岩道,A Kung Ngam Road,筲箕灣,Shau Kei Wan,None
亞公岩村里,A Kung Ngam Village Lane,筲箕灣,Shau Kei Wan,None
亞公岩村道,A Kung Ngam Village Road,筲箕灣,Shau Kei Wan,None
香港仔大道,Aberdeen Main Road,香港仔,Aberdeen,None
香港仔海傍道,Aberdeen Praya Road,香港仔,Aberdeen,None
香港仔水塘道,Aberdeen Reservoir Road,香港仔,Aberdeen,None
鴨巴甸街,Aberdeen Street,中環,Central,british-o
香港仔隧道,Aberdeen Tunnel,跑馬地,Happy Valley,None
亞公灣路,Ah Kung Wan Road,清水灣,Clear Water Bay,None
航展道,Airport Expo Boulevard,赤鱲角,Chek Lap Kok,None
機場路,Airport Road,赤鱲角,Chek Lap Kok,None
雅賓利道,Albany Road,半山區,Mid-levels,None
亞厘畢里,Albert Path,中環,Central,royal
愛秩序灣道,Aldrich Bay Road,筲箕灣,Shau Kei Wan,officer
愛秩序街,Aldrich Street,筲箕灣,Shau Kei Wan,officer
安域道,Alnwick Road,九龍塘,Kowloon Tong,british-p
津堤徑,Amalfi Drive,愉景灣,Discovery Bay,None
廈門街,Amoy Street,灣仔,Wan Chai,chi-place
晏架街,Anchor Street,大角咀,Tai Kok Tsui,None
安達臣道,Anderson Road,將軍澳,Tseung Kwan O,officials
安島徑,Angel Island Avenue,元朗,Yuen Long,california
安徽街,Anhui Street,紅磡,Hung Hom,chi-place
晏頓街,Anton Street,灣仔,Wan Chai,None
鴨脷洲大橋,Ap Lei Chau Bridge,鴨脷洲,Ap Lei Chau,None
鴨脷洲橋道,Ap Lei Chau Bridge Road,鴨脷洲,Ap Lei Chau,None
鴨脷洲徑,Ap Lei Chau Drive,鴨脷洲,Ap Lei Chau,None
鴨脷洲海傍道,Ap Lei Chau Praya Road,鴨脷洲,Ap Lei Chau,None
鴨寮街,Apliu Street,深水埗,Sham Shui Po,None
亞畢諾道,Arbuthnot Road,中環、半山區,"Central, Mid-levels",None
亞皆老街,Argyle Street,九龍塘、旺角、何文田、九龍城,"Kowloon Tong, Mong Kok, Ho Man Tin, Kowloon City",ship
雅蘭里,Arran Lane,旺角,Mong Kok,british-p
鴉蘭街,Arran Street,旺角,Mong Kok,british-p
軍器廠街,Arsenal Street,灣仔,Wan Chai,None
鴉打街,Arthur Street,油麻地,Yau Ma Tei,None
槐樹街,Ash Street,大角咀,Tai Kok Tsui,None
亞士厘道,Ashley Road,尖沙咀,Tsim Sha Tsui,None
坳背灣街,Au Pui Wan Street,沙田,Sha Tin,None
柯士甸路,Austin Avenue,尖沙咀,Tsim Sha Tsui,officials
柯士甸道,Austin Road,尖沙咀,Tsim Sha Tsui,officials
柯士甸道西,Austin Road West,尖沙咀,Tsim Sha Tsui,officials
巴丙頓道,Babington Path,半山區,Mid-levels,None
庇利街,Bailey Street,紅磡,Hung Hom,None
必嘉圍,Baker Court,紅磡,Hung Hom,None
必嘉街,Baker Street,紅磡,Hung Hom,None
銀行街,Bank Street,中環,Central,None
翠榕橋,Banyan Bridge,火炭,Fo Tan,None
青榕徑,Banyan Path,元朗,Yuen Long,None
浸會大學道,Baptist University Road,九龍塘,Kowloon Tong,None
白加道,Barker Road,山頂,The Peak,officer
巴色道,Basel Road,筲箕灣,Shau Kei Wan,None
炮台里,Battery Path,中環,Central,None
炮台街,Battery Street,油麻地,Yau Ma Tei,None
紫荊東路,Bauhinia Road East,元朗,Yuen Long,None
紫荊北路,Bauhinia Road North,元朗,Yuen Long,None
